Empire Strikes Back, The (1980)	42.712088702795626
Back to the Future (1985)	41.51302450535503
Raiders of the Lost Ark (1981)	41.182750363603574
Star Wars (1977)	39.71993647026325
Return of the Jedi (1983)	34.54895384589841
Toy Story (1995)	33.2806478780606
Fugitive, The (1993)	31.362287575170285
Indiana Jones and the Last Crusade (1989)	31.256028585233256
E.T. the Extra-Terrestrial (1982)	29.116700157386358
Terminator, The (1984)	28.82338248330272
Terminator 2: Judgment Day (1991)	28.45619904982895
Aliens (1986)	27.70018639639498
Monty Python and the Holy Grail (1974)	27.44944375579655
Braveheart (1995)	27.095572653242357
Fargo (1996)	26.67373404246421
Princess Bride, The (1987)	26.63702603327405
Godfather, The (1972)	25.91921520934568
When Harry Met Sally... (1989)	25.748717636079736
Silence of the Lambs, The (1991)	25.71245308495617
Forrest Gump (1994)	25.63418961425903
Amadeus (1984)	25.183540053946032
Independence Day (ID4) (1996)	25.15846864146468
Jaws (1975)	23.483099270589527
Aladdin (1992)	23.164352695464785
Groundhog Day (1993)	23.048126483353915
Jurassic Park (1993)	22.771107644018606
Die Hard (1988)	22.68291118932757
Apollo 13 (1995)	22.64259531560341
Blade Runner (1982)	22.209545970667623
Alien (1979)	21.62940862323451
Star Trek: The Wrath of Khan (1982)	21.379192947150923
Star Trek: First Contact (1996)	21.2188545735137
Dances with Wolves (1990)	20.826749808766138
Twelve Monkeys (1995)	19.546518297374718
Mission: Impossible (1996)	19.333262607114964
Contact (1997)	19.30049280558394
Shawshank Redemption, The (1994)	19.286980352230287
Pulp Fiction (1994)	19.1908304745341
Willy Wonka and the Chocolate Factory (1971)	19.151115696069446
Wizard of Oz, The (1939)	18.949071821224813
Rock, The (1996)	18.88374750922585
One Flew Over the Cuckoo's Nest (1975)	18.840393943650792
Fish Called Wanda, A (1988)	18.780510990693813
Sting, The (1973)	18.1733036492747
Hunt for Red October, The (1990)	17.361476171537966
Stand by Me (1986)	17.30860996413232
Jerry Maguire (1996)	17.105724726269035
True Lies (1994)	16.92321364566421
Top Gun (1986)	16.694212373000592
Blues Brothers, The (1980)	16.690533771475703
Men in Black (1997)	16.502672050326062
Dead Poets Society (1989)	16.331663171186303
Sleepless in Seattle (1993)	16.259639507594525
Schindler's List (1993)	16.203681136525216
GoodFellas (1990)	16.095250316345926
Usual Suspects, The (1995)	16.000315583798308
